date,region,signal_type,raw_description,source,gtm_type,url
27-01-2026, Mexico, Expansion, "Revolut launches banking operations in Mexico, which is Revolut's first expansion outside of Europe", Revolut, Timing and Expansion, https://www.revolut.com/en-SK/news/revolut_launches_full_banking_operations_in_mexico_accelerating_global_expansion/
17-11-2025, Global, Partnerships, "Revolut launches new payment partnership with online travel platform Booking.com", Revolut, Messaging, https://www.revolut.com/de-DE/news/revolut_expands_travel_footprint_launches_new_payments_partnership_with_online_travel_platform_booking_com/
24-11-2025, Global, Financial Reports, "Revolut Completes Fundraising Process Establishing $75 Billion Valuation", Revolut, Financial, https://www.revolut.com/de-DE/news/revolut_completes_fundraising_process_establishing_75_billion_valuation/
30-07-2025,Global, Partnership, "Revolut becomes title partner of the future Audi F1 Team", Revolut, Messaging, https://www.revolut.com/de-DE/news/revolut_becomes_title_partner_of_the_future_audi_f1_team/
21-07-2025, West Europe, Hiring, "Revolut kicks off recruitment drive for 400+ roles in Western Europe as new HQ takes shape", Revolut, Organizational, https://www.revolut.com/de-DE/news/revolut_kicks_off_recruitment_drive_for_400_roles_in_western_europe_as_new_hq_takes_shape/
10-02-2026, Europe, Hiring, "Revolut names JPMorgan executive to lead operations in Lithuania and Europe", LRT, Organizational, https://www.lrt.lt/en/news-in-english/19/2835345/revolut-names-jpmorgan-executive-to-lead-operations-in-lithuania-and-europe
13-01-2026, Global, Product and Feature launches, "Revolut amps up fight against impersonation scams with new call identification feature", Revolut, Messaging, https://www.revolut.com/de-DE/news/revolut_amps_up_fight_against_impersonation_scams_with_new_call_identification_feature/
23-09-2025, Global, Expansion, "Revolut Unveils Global HQ, Setting out Global Vision and Ambitious Timeline for 100 Million Customers", Revolut, Timing and Expansion, https://www.revolut.com/news/revolut_unveils_global_hq_setting_out_global_vision_and_ambitious_timeline_for_100_million_customers/
14-10-2025, Global, Expansion, "Revolut acquires AI travel agent startup Swifty incubated at Lufthansa Innovation Hub", Revolut, Timing and Expansion, https://www.revolut.com/de-DE/news/revolut_acquires_ai_travel_agent_startup_swifty_incubated_at_lufthansa_innovation_hub/
04-9-2025, Global, Partnerships, "Revolut and Google Cloud deepen strategic partnership to power global growth to 100m customers", Revolut, Messaging, https://www.revolut.com/de-DE/news/revolut_and_google_cloud_deepen_strategic_partnership_to_power_global_growth_to_100m_customers/
24-06-2025, West Europe, Hiring, "Revolut appoints B̩atrice Cossa-Dumurgier as the CEO of new Western Europe HQ", Revolut, Organizational, https://www.revolut.com/de-DE/news/revolut_appoints_b_atrice_cossa_dumurgier_as_the_ceo_of_new_western_europe_hq/
04-06-2025, Spain, Product and Feature launches, "Revolut launches its first ATMs in Spain: Sleek design, unlimited free withdrawals for customers and physical cards dispensing", Revolut, Messaging, https://www.revolut.com/de-DE/news/revolut_launches_its_first_atms_in_spain_sleek_design_unlimited_free_withdrawals_for_customers_and_physical_cards_dispensing/